Name,"Base 
Currency",Ticker,ISIN,"Global Broad 
Category Group","Global 
Category",Morningstar Category,"Morningstar 
Institutional Category","Morningstar 
Rating 
Overall",US Category Group,Domicile,Fund Legal Structure,"Equity 
Style Box (Long)","Fixed Inc 
Style Box (Long)",Firm Name,Branding Name,"Inception 
Date",Manager Name,Manager History,Manager Ownership Level,"Manager 
Tenure 
(Longest)","Manager 
Tenure 
(Average)","Primary Prospectus 
Benchmark","Primary Prospectus 
Benchmark Id","Primary Prospectus 
Benchmark Inception Date","Net Assets 
Date",Net Assets-Share Class USD,"Fund Size 
Date","Fund Size 
USD","Holding of 
an Investment","Oldest 
Share Class","12 Mo 
Yield Date","12 Mo 
Yield","Latest 
Dividend 
Date","Latest Dividend 
USD",Share Split,"Latest 
Capital Gain 
Date","Latest 
Capital Gain 
USD","Portfolio 
Date","Return Date 
(Daily)","NAV (Daily) 
USD","Total Ret 
1 Day 
(Daily) 
USD","Total Ret 
YTD 
(Daily) 
USD","Total Ret 
1 Yr 
(Daily) 
USD","Total Ret 
Annlzd 2 Yr 
(Daily) 
USD","Total Ret 
Annlzd 3 Yr 
(Daily) 
USD","Total Ret 
Annlzd 5 Yr 
(Daily) 
USD","Annual Report 
Net Expense 
Ratio","Annual Report 
Ongoing Charge","Annual Report 
Ongoing Charge 
Date","Annual Report 
Gross Expense 
Ratio","Prospectus 
Objective",Turnover Ratio % Date,"Turnover 
Ratio %",SecId,PerformanceId,FundId,StrategyId,StrategyId,CUSIP,Investment Type,"Performance 
Data Ready","Price 
Data Ready","Operations 
Data Ready","Portfolio 
Data Ready","Note Effective 
Date","Primary Share 
in Market","Target Date 
Report Date","Equity Profile 
Report Date",Annual Report Adjusted Expense Ratio,Prospectus Adjusted Expense Ratio,Submarket
AB Relative Value Z,US Dollar,CBBZX,US0185978808,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,AllianceBernstein,AllianceBernstein,10/15/2013,Frank V. Caruso;John H. Fogarty;Vinay Thapar;,[1988-10-01 -- 1990-04-01] Bruce W. Calvert;[2004-12-31 -- ] Frank V. Caruso;[1990-04-01 -- 1994-11-01] Thomas M. Perkins;[2004-08-02 -- 2004-12-30] Management Team;[1994-11-01 -- 2004-08-01] Paul C. Rissman;[2018-04-11 -- ] John H. Fogarty;[2018-04-11 -- ] Vinay Thapar;,"Frank V. Caruso [$500,001 - $1,000,000];John H. Fogarty [$0 - None];Vinay Thapar [$0 - None];",16.92,8.03,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"54,973,235.00",11/5/2021,"2,066,229,619.00",Yes,No,10/31/2021,1.19,12/11/2020,0.09,,12/13/2019,0.18,9/30/2021,11/5/2021,7.36,,,,,,,0.61,,,0.62,Growth and Income,10/31/2020,55,F00000QA90,0P0000ZAGK,FSUSA000KE,STUSA04D3X,STUSA04D3X,18597880,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.61,0.62,
American Beacon Large Cap Value R6,US Dollar,AALRX,US0245267903,Equity,US Equity Large Cap Value,US Fund Large Value,Large Deep Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,American Beacon,American Beacon,2/28/2017,George H. Davis;Mark Giambrone;Patricia McKenna;Kirk L. Brown;Nevin P. Chitkara;Judd Peters;Scott McBride;Gene L. Needles;Paul B. Cavazos;Katherine A. Cannan;,[1987-07-17 -- 2021-02-28] James P. Barrow;[1989-12-31 -- ] George H. Davis;[1996-12-31 -- 2012-02-28] Earl J. Gaskins;[1994-12-31 -- 2018-12-31] Sheldon J. Lieberman;[1987-07-17 -- 2012-02-28] William F. Quinn;[1997-12-31 -- 2007-09-30] David E. Green;[1995-05-31 -- 2007-02-28] Nancy A. Eckl;[1999-12-31 -- 2007-09-30] Stanley Majcher;[2010-11-22 -- 2020-12-31] Steven R. Gorham;[2000-11-30 -- 2010-11-22] Howard Gleicher;[2000-11-30 -- 2010-11-22] Gary W. Lisenbee;[2015-02-27 -- ] Mark Giambrone;[1995-12-31 -- ] Patricia McKenna;[2011-12-31 -- 2020-01-15] James J. Clarke;[2000-11-30 -- 2010-11-22] David M. Graham;[2004-03-31 -- 2010-12-29] Jeffrey Peck;[1998-10-01 -- 2016-03-31] Adriana R. Posada;[2016-02-28 -- ] Kirk L. Brown;[2006-05-31 -- 2010-11-22] Jay Cunningham;[2010-07-29 -- 2020-01-15] Patrick S. Kaser;[2010-11-22 -- ] Nevin P. Chitkara;[1996-12-31 -- 2017-02-28] Paul R. Lesutis;[1996-04-30 -- 2007-09-30] Stephen S. Smith;[2006-09-30 -- 2008-04-23] Douglas G. Herring;[2007-01-24 -- 2015-06-17] Wyatt L. Crumpler;[2003-12-31 -- ] Judd Peters;[2004-12-31 -- ] Scott McBride;[2012-02-29 -- ] Gene L. Needles;[2016-12-31 -- ] Paul B. Cavazos;[2018-03-16 -- 2021-05-06] Mark M. Michel;[2019-12-31 -- ] Katherine A. Cannan;,"George H. Davis [$0 - None];Mark Giambrone [$0 - None];Patricia McKenna [$0 - None];Kirk L. Brown [$50,001 - $100,000];Nevin P. Chitkara [$0 - None];Judd Peters [$0 - None];Scott McBride [$0 - None];Gene L. Needles [$10,001 - $50,000];Paul B. Cavazos [$100,001 - $500,000];Katherine A. Cannan [$0 - None];",31.92,13.28,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"1,278,233,441.00",11/5/2021,"4,152,497,953.00",No,No,10/31/2021,1.47,12/22/2020,0.5,,12/22/2020,3.11,8/31/2021,11/5/2021,31.44,,,,,,,0.59,,,0.62,Growth and Income,10/31/2020,67,F00000YM9F,0P00019UZA,FSUSA00016,STUSA0579H,STUSA0579H,24526790,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.59,0.6,
American Beacon The London Co Inc Eq A,US Dollar,ABCAX,US0245271038,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,American Beacon,American Beacon,5/29/2012,Stephen M. Goddard;Jonathan T. Moody;J. Brian Campbell;Mark E. DeVaul;Samuel D. Hutchings;,[2012-05-29 -- ] Stephen M. Goddard;[2013-03-05 -- 2013-12-27] Cynthia M. Thatcher;[2012-05-29 -- 2013-03-04] Kirk L. Brown;[2012-05-29 -- 2012-12-31] J. Wade Stinnette;[2012-05-29 -- 2013-12-27] Wyatt L. Crumpler;[2012-05-29 -- ] Jonathan T. Moody;[2012-05-29 -- ] J. Brian Campbell;[2012-05-29 -- 2013-12-27] Gene L. Needles;[2012-05-29 -- ] Mark E. DeVaul;[2012-05-29 -- 2013-05-21] Thomas E. Megson;[2020-12-29 -- ] Samuel D. Hutchings;,"Stephen M. Goddard [$1,000,001 and above];Jonathan T. Moody [$0 - None];J. Brian Campbell [$100,001 - $500,000];Mark E. DeVaul [$50,001 - $100,000];Samuel D. Hutchings [$10,001 - $50,000];",9.5,7.78,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"146,411,677.00",11/5/2021,"1,793,791,303.00",No,No,10/31/2021,1.23,11/1/2021,0.01,,12/11/2020,0.21,8/31/2021,11/5/2021,23.47,,,,,,,1.04,,,1.04,Equity-Income,8/31/2020,21,F00000NZMS,0P0000VQAK,FS00009EL2,STUSA04E8K,STUSA04E8K,24527103,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.04,1.05,
American Beacon The London Co Inc Eq C,US Dollar,ABECX,US0245272028,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,American Beacon,American Beacon,5/29/2012,Stephen M. Goddard;Jonathan T. Moody;J. Brian Campbell;Mark E. DeVaul;Samuel D. Hutchings;,[2012-05-29 -- ] Stephen M. Goddard;[2013-03-05 -- 2013-12-27] Cynthia M. Thatcher;[2012-05-29 -- 2013-03-04] Kirk L. Brown;[2012-05-29 -- 2012-12-31] J. Wade Stinnette;[2012-05-29 -- 2013-12-27] Wyatt L. Crumpler;[2012-05-29 -- ] Jonathan T. Moody;[2012-05-29 -- ] J. Brian Campbell;[2012-05-29 -- 2013-12-27] Gene L. Needles;[2012-05-29 -- ] Mark E. DeVaul;[2012-05-29 -- 2013-05-21] Thomas E. Megson;[2020-12-29 -- ] Samuel D. Hutchings;,"Stephen M. Goddard [$1,000,001 and above];Jonathan T. Moody [$0 - None];J. Brian Campbell [$100,001 - $500,000];Mark E. DeVaul [$50,001 - $100,000];Samuel D. Hutchings [$10,001 - $50,000];",9.5,7.78,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"83,939,009.00",11/5/2021,"1,793,791,303.00",No,No,10/31/2021,0.57,10/1/2021,0.01,,12/11/2020,0.21,8/31/2021,11/5/2021,23.29,,,,,,,1.81,,,1.81,Equity-Income,8/31/2020,21,F00000NZMT,0P0000VQAL,FS00009EL2,STUSA04E8K,STUSA04E8K,24527202,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.81,1.82,
American Beacon The London Co Inc Eq Inv,US Dollar,ABCVX,US0245275096,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,American Beacon,American Beacon,5/29/2012,Stephen M. Goddard;Jonathan T. Moody;J. Brian Campbell;Mark E. DeVaul;Samuel D. Hutchings;,[2012-05-29 -- ] Stephen M. Goddard;[2013-03-05 -- 2013-12-27] Cynthia M. Thatcher;[2012-05-29 -- 2013-03-04] Kirk L. Brown;[2012-05-29 -- 2012-12-31] J. Wade Stinnette;[2012-05-29 -- 2013-12-27] Wyatt L. Crumpler;[2012-05-29 -- ] Jonathan T. Moody;[2012-05-29 -- ] J. Brian Campbell;[2012-05-29 -- 2013-12-27] Gene L. Needles;[2012-05-29 -- ] Mark E. DeVaul;[2012-05-29 -- 2013-05-21] Thomas E. Megson;[2020-12-29 -- ] Samuel D. Hutchings;,"Stephen M. Goddard [$1,000,001 and above];Jonathan T. Moody [$0 - None];J. Brian Campbell [$100,001 - $500,000];Mark E. DeVaul [$50,001 - $100,000];Samuel D. Hutchings [$10,001 - $50,000];",9.5,7.78,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"57,082,957.00",11/5/2021,"1,793,791,303.00",Yes,No,10/31/2021,1.2,11/1/2021,0.01,,12/11/2020,0.21,8/31/2021,11/5/2021,23.63,,,,,,,1.07,,,1.07,Equity-Income,8/31/2020,21,F00000NZMY,0P0000VQAQ,FS00009EL2,STUSA04E8K,STUSA04E8K,24527509,Open-End Fund,Yes,Yes,Yes,Yes,,,,,1.07,1.08,
American Beacon The London Co Inc Eq R5,US Dollar,ABCIX,US0245274008,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,American Beacon,American Beacon,5/29/2012,Stephen M. Goddard;Jonathan T. Moody;J. Brian Campbell;Mark E. DeVaul;Samuel D. Hutchings;,[2012-05-29 -- ] Stephen M. Goddard;[2013-03-05 -- 2013-12-27] Cynthia M. Thatcher;[2012-05-29 -- 2013-03-04] Kirk L. Brown;[2012-05-29 -- 2012-12-31] J. Wade Stinnette;[2012-05-29 -- 2013-12-27] Wyatt L. Crumpler;[2012-05-29 -- ] Jonathan T. Moody;[2012-05-29 -- ] J. Brian Campbell;[2012-05-29 -- 2013-12-27] Gene L. Needles;[2012-05-29 -- ] Mark E. DeVaul;[2012-05-29 -- 2013-05-21] Thomas E. Megson;[2020-12-29 -- ] Samuel D. Hutchings;,"Stephen M. Goddard [$1,000,001 and above];Jonathan T. Moody [$0 - None];J. Brian Campbell [$100,001 - $500,000];Mark E. DeVaul [$50,001 - $100,000];Samuel D. Hutchings [$10,001 - $50,000];",9.5,7.78,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"424,994,229.00",11/5/2021,"1,793,791,303.00",No,Yes,10/31/2021,1.48,11/1/2021,0.02,,12/11/2020,0.21,8/31/2021,11/5/2021,23.73,,,,,,,0.75,,,0.75,Equity-Income,8/31/2020,21,F00000NZMX,0P0000VQAP,FS00009EL2,STUSA04E8K,STUSA04E8K,24527400,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.75,0.76,
American Beacon The London Co Inc Eq R6,US Dollar,ABCRX,US0245251238,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,American Beacon,American Beacon,8/25/2020,Stephen M. Goddard;Jonathan T. Moody;J. Brian Campbell;Mark E. DeVaul;Samuel D. Hutchings;,[2012-05-29 -- ] Stephen M. Goddard;[2013-03-05 -- 2013-12-27] Cynthia M. Thatcher;[2012-05-29 -- 2013-03-04] Kirk L. Brown;[2012-05-29 -- 2012-12-31] J. Wade Stinnette;[2012-05-29 -- 2013-12-27] Wyatt L. Crumpler;[2012-05-29 -- ] Jonathan T. Moody;[2012-05-29 -- ] J. Brian Campbell;[2012-05-29 -- 2013-12-27] Gene L. Needles;[2012-05-29 -- ] Mark E. DeVaul;[2012-05-29 -- 2013-05-21] Thomas E. Megson;[2020-12-29 -- ] Samuel D. Hutchings;,"Stephen M. Goddard [$1,000,001 and above];Jonathan T. Moody [$0 - None];J. Brian Campbell [$100,001 - $500,000];Mark E. DeVaul [$50,001 - $100,000];Samuel D. Hutchings [$10,001 - $50,000];",9.5,7.78,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"174,736.00",11/5/2021,"1,793,791,303.00",No,No,10/31/2021,1.35,11/1/2021,0.02,,12/11/2020,0.21,8/31/2021,11/5/2021,23.79,,,,,,,0.71,,,0.85,Equity-Income,8/31/2020,21,F000015MNZ,0P0001KL8Y,FS00009EL2,STUSA04E8K,STUSA04E8K,24525123,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.71,0.72,
American Beacon The London Co Inc Eq Y,US Dollar,ABCYX,US0245273018,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,American Beacon,American Beacon,5/29/2012,Stephen M. Goddard;Jonathan T. Moody;J. Brian Campbell;Mark E. DeVaul;Samuel D. Hutchings;,[2012-05-29 -- ] Stephen M. Goddard;[2013-03-05 -- 2013-12-27] Cynthia M. Thatcher;[2012-05-29 -- 2013-03-04] Kirk L. Brown;[2012-05-29 -- 2012-12-31] J. Wade Stinnette;[2012-05-29 -- 2013-12-27] Wyatt L. Crumpler;[2012-05-29 -- ] Jonathan T. Moody;[2012-05-29 -- ] J. Brian Campbell;[2012-05-29 -- 2013-12-27] Gene L. Needles;[2012-05-29 -- ] Mark E. DeVaul;[2012-05-29 -- 2013-05-21] Thomas E. Megson;[2020-12-29 -- ] Samuel D. Hutchings;,"Stephen M. Goddard [$1,000,001 and above];Jonathan T. Moody [$0 - None];J. Brian Campbell [$100,001 - $500,000];Mark E. DeVaul [$50,001 - $100,000];Samuel D. Hutchings [$10,001 - $50,000];",9.5,7.78,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"1,081,188,695.00",11/5/2021,"1,793,791,303.00",Yes,No,10/31/2021,1.44,11/1/2021,0.02,,12/11/2020,0.21,8/31/2021,11/5/2021,23.59,,,,,,,0.81,,,0.81,Equity-Income,8/31/2020,21,F00000NZMU,0P0000VQAM,FS00009EL2,STUSA04E8K,STUSA04E8K,24527301,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.81,0.82,
American Century Discplnd Cor Val R5,US Dollar,AICGX,US02508G8428,Equity,US Equity Large Cap Value,US Fund Large Value,Large Relative Value,4,U.S. Equity,United States,Open Ended Investment Company,Large Value,,American Century Investments,American Century,4/10/2017,Yulin Long;Steven Rossi;,[1990-12-17 -- 1997-06-02] Steven L. Colton;[1997-06-02 -- 2002-01-01] William Martin;[1997-06-02 -- 2002-01-01] Jeffrey R. Tyler;[1990-12-17 -- 2010-03-31] John Schniedwind;[1990-12-17 -- 2010-12-10] Kurt Borgwardt;[2010-12-11 -- 2020-04-01] Brian L. Garbe;[2000-05-01 -- 2002-01-01] Wilhelmine Von Turk;[2002-01-01 -- 2006-04-30] Vivienne Hsu;[2002-02-28 -- 2010-12-10] Zili Zhang;[2010-12-11 -- 2020-08-01] Claudia Musat;[2020-08-01 -- ] Yulin Long;[2020-04-01 -- ] Steven Rossi;,Yulin Long [$0 - None];Steven Rossi [$0 - None];,1.58,1.42,Russell 1000 Value TR USD,XIUSA000KP,1/1/1987,11/5/2021,"54,350,049.00",11/5/2021,"3,070,714,682.00",No,No,10/31/2021,1.2,9/21/2021,0.17,,12/22/2020,5.31,9/30/2021,11/5/2021,45.73,,,,,,,0.46,,,0.46,Growth and Income,6/30/2021,240,F00000YTDJ,0P0001A596,FSUSA0007J,STUSA04D52,STUSA04D52,02508G842,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0.46,0.46,
American Century Equity Income G,US Dollar,AEIMX,US02508F6878,Equity,US Equity Large Cap Value,US Fund Large Value,Large Core Value,3,U.S. Equity,United States,Open Ended Investment Company,Large Value,,American Century Investments,American Century,8/1/2019,Phillip N. Davidson;Michael Liss;Kevin Toney;Brian Woglom;,[1994-08-01 -- 1998-07-01] Peter A. Zuger;[1994-12-31 -- ] Phillip N. Davidson;[1998-02-01 -- 1998-07-01] R. Todd Vingers;[1996-10-31 -- 2008-09-01] Scott A. Moore;[1998-12-31 -- ] Michael Liss;[2003-08-30 -- ] Kevin Toney;[2019-04-29 -- ] Brian Woglom;[2009-12-31 -- 2019-04-29] Dan Gruemmer;,"Phillip N. Davidson [$500,001 - $1,000,000];Michael Liss [$0 - None];Kevin Toney [$100,001 - $500,000];Brian Woglom [$100,001 - $500,000];",26.92,17.67,Russell 3000 Value TR USD,XIUSA000KT,12/29/1978,11/5/2021,"6,359.00",11/5/2021,"12,172,423,114.00",No,No,10/31/2021,2.62,9/21/2021,0.06,,12/20/2019,0.47,9/30/2021,11/5/2021,10.27,,,,,,,0,,,0.56,Equity-Income,3/31/2020,85,F000013YTQ,0P0001I63C,FSUSA001FZ,STUSA04ADR,STUSA04ADR,02508F687,Open-End Fund,Yes,Yes,Yes,Yes,,,,,0,0.01,
